Model,Pipeline,Feature,Feature_Type,AUC_Drop,Base_AUC
HyperTMO,SMOTE,PIK3CA,Gene,0.00011661807580169992,0.816472303206997
HyperTMO,SMOTE,NF1,Gene,1.4577259475201387e-05,0.816472303206997
HyperTMO,SMOTE,PIK3R1,Gene,-8.746355685128604e-05,0.816472303206997
HyperTMO,SMOTE,FUBP1,Gene,0.0001749271137026498,0.816472303206997
HyperTMO,SMOTE,RB1,Gene,-0.0002915451895043941,0.816472303206997
HyperTMO,SMOTE,NOTCH1,Gene,8.746355685127494e-05,0.816472303206997
HyperTMO,SMOTE,BCOR,Gene,-2.9154518950447182e-05,0.816472303206997
HyperTMO,SMOTE,CSMD3,Gene,-8.746355685129714e-05,0.816472303206997
HyperTMO,SMOTE,SMARCA4,Gene,2.9154518950413877e-05,0.816472303206997
HyperTMO,SMOTE,GRIN2A,Gene,-0.00017492711370257208,0.816472303206997
HyperTMO,SMOTE,IDH2,Gene,9.475218658889783e-05,0.816472303206997
HyperTMO,SMOTE,FAT4,Gene,-0.00010204081632649852,0.816472303206997
HyperTMO,SMOTE,PDGFRA,Gene,2.9154518950413877e-05,0.816472303206997
HyperTMO,SMOTE,Age_at_diagnosis,Clinical,0.32193877551020406,0.816472303206997
HyperTMO,SMOTE,Gender,Clinical,0.008163265306122425,0.816472303206997
HyperTMO,SMOTE,Race,Clinical,-0.002682215743440253,0.816472303206997
HyperTMO,CTGAN,IDH1,Gene,0.0027405247813410694,0.8243440233236151
HyperTMO,CTGAN,TP53,Gene,-0.0007142857142857673,0.8243440233236151
HyperTMO,CTGAN,ATRX,Gene,0.00037900874635564684,0.8243440233236151
HyperTMO,CTGAN,PTEN,Gene,0.00045189504373174263,0.8243440233236151
HyperTMO,CTGAN,EGFR,Gene,-0.00024781341107877887,0.8243440233236151
HyperTMO,CTGAN,CIC,Gene,7.288629737606245e-05,0.8243440233236151
HyperTMO,CTGAN,MUC16,Gene,0.0004956268221573912,0.8243440233236151
HyperTMO,CTGAN,PIK3CA,Gene,-0.0011953352769679903,0.8243440233236151
HyperTMO,CTGAN,NF1,Gene,-2.915451895048049e-05,0.8243440233236151
HyperTMO,CTGAN,PIK3R1,Gene,0.0007434402332361812,0.8243440233236151
HyperTMO,CTGAN,FUBP1,Gene,0.000801749271137031,0.8243440233236151
HyperTMO,CTGAN,RB1,Gene,-0.0010204081632653073,0.8243440233236151
HyperTMO,CTGAN,NOTCH1,Gene,0.00039358600583090376,0.8243440233236151
HyperTMO,CTGAN,BCOR,Gene,-0.0016180758017493191,0.8243440233236151
HyperTMO,CTGAN,CSMD3,Gene,-4.373177842571518e-05,0.8243440233236151
HyperTMO,CTGAN,SMARCA4,Gene,0.000466472303206944,0.8243440233236151
HyperTMO,CTGAN,GRIN2A,Gene,-0.00010204081632656515,0.8243440233236151
HyperTMO,CTGAN,IDH2,Gene,0.00039358600583083714,0.8243440233236151
HyperTMO,CTGAN,FAT4,Gene,1.4577259475223591e-05,0.8243440233236151
HyperTMO,CTGAN,PDGFRA,Gene,0.00020408163265303036,0.8243440233236151
HyperTMO,CTGAN,Age_at_diagnosis,Clinical,0.3073760932944606,0.8243440233236151
HyperTMO,CTGAN,Gender,Clinical,0.010233236151603431,0.8243440233236151
HyperTMO,CTGAN,Race,Clinical,0.011268221574344007,0.8243440233236151
RGCN,No Balancing,IDH1,Gene,0.04355685131195326,0.883673469387755
RGCN,No Balancing,TP53,Gene,0.004897959183673384,0.883673469387755
RGCN,No Balancing,ATRX,Gene,0.005306122448979522,0.883673469387755
RGCN,No Balancing,PTEN,Gene,0.011151603498542207,0.883673469387755
RGCN,No Balancing,EGFR,Gene,0.01088921282798827,0.883673469387755
RGCN,No Balancing,CIC,Gene,0.026895043731778347,0.883673469387755
RGCN,No Balancing,MUC16,Gene,-0.00029154518950442744,0.883673469387755
RGCN,No Balancing,PIK3CA,Gene,0.0017638483965014106,0.883673469387755
RGCN,No Balancing,NF1,Gene,-0.004271137026239135,0.883673469387755
RGCN,No Balancing,PIK3R1,Gene,-0.0008892128279884059,0.883673469387755
RGCN,No Balancing,FUBP1,Gene,0.00526239067055384,0.883673469387755
RGCN,No Balancing,RB1,Gene,0.0018804664723031217,0.883673469387755
RGCN,No Balancing,NOTCH1,Gene,0.013454810495626756,0.883673469387755
